tweet_id,url,text,username,user_followers,user_verified,like_count,retweet_count,reply_count,quote_count,view_count,created_at,language,is_retweet,date,search_keyword
1984020090736799989,https://x.com/Gautam08jha/status/1984020090736799989,"Bihar’s politics is shifting gears. Caste is no longer the loudest voice in  assembly election.

 Governance, jobs, and welfare shape the voter’s choice as 2025 polls near.

https://t.co/YfHOduaqfl

#BiharPolitics #BiharElections2025 #TejashwiYadav #NitishKumar #IndianPolitics",Gautam08jha,0,False,0,0,0,0,0,,en,False,,Bihar election 2025
1983982687288479832,https://x.com/NihalJrn/status/1983982687288479832,"🔴 Bihar Election 2025 Murder 

@jansuraajonline worker Dularchand Yadav shot and ran over during the campaign in Mokama Yesterday. (Allegations of coalition with RJD)

JDU candidate Anant Singh faces accusations.

#BiharElections #Mokama #JanSuraaj #BiharElections #BreakingNews https://t.co/lkSe9lHxaQ",NihalJrn,0,False,0,0,0,0,0,,en,False,,Bihar election 2025
1983954345436885102,https://x.com/HRITHIKSAINI1/status/1983954345436885102,"Sharing some more glimpses from the Shining India Survey #Bihar Assembly Election 2025.
#ShiningIndiaSurvey 
#BiharElection2025 https://t.co/XWFYCXtxsv",HRITHIKSAINI1,0,False,0,0,0,0,0,,en,False,,Bihar election 2025
1983953582547440104,https://x.com/HRITHIKSAINI1/status/1983953582547440104,"Sharing some glimpses from the Shining India Survey Bihar Election 2025. 
#ShiningIndiaSurvey #Bihar 
#BiharElection2025 https://t.co/fyHpYYZiVr",HRITHIKSAINI1,0,False,0,0,0,0,0,,en,False,,Bihar election 2025
1983948642332635393,https://x.com/BCacarla/status/1983948642332635393,Rahul Gandhi PM Modi dance remark: BJP moves Election Commission - India Today https://t.co/D9o4Q95LsV,BCacarla,0,False,0,0,0,0,0,,en,False,,Bihar election 2025
1983946026953097409,https://x.com/BhaaratExpress/status/1983946026953097409,"Bihar Election 2025: छातापुर से उम्मीदवार नीरज सिंह बबलू ने विपक्ष को बताया मुद्दा विहीन 
#biharelection2025  #mohanyadav #mpnews #amitshah   #CMYogiAdityanath #YogiInBihar #ShahpurRally #RJDvsBJP #YogiSpeech #BJPInBihar #BiharPolitics #ElectionRally #BharatExpress | @Anupanchorindia @BJP4Bihar @INCIndia @RJDforIndia @Jduonline",BhaaratExpress,0,False,0,0,0,0,0,,hi,False,,Bihar election 2025
1983937531902357884,https://x.com/BarabankiE/status/1983937531902357884,"Bihar Election: बाल-बाल बचे भाजपा नेता व पूर्व सांसद बृजभूषण शरण सिंह, धान के खेत में करानी पड़ी हेलिकॉप्टर की इमरजेंसी लैंडिंग

Barabanki Express
""सनसनी नहीं सिर्फ़ सच""
 https://t.co/zOlcQis2Jq",BarabankiE,0,False,0,0,0,0,0,,hi,False,,Bihar election 2025
1983935125642518773,https://x.com/ians_india/status/1983935125642518773,Fact Sheet of Bihar Assembly Election 2025 (Second Phase): ECI https://t.co/1tv3da7KUS,ians_india,0,False,0,0,0,0,0,,en,False,,Bihar election 2025
1983934368771920108,https://x.com/ians_india/status/1983934368771920108,Fact Sheet of Bihar Assembly Election 2025 (First Phase): ECI https://t.co/I3jytu4Mle,ians_india,0,False,0,0,0,0,0,,en,False,,Bihar election 2025
1983932284656087282,https://x.com/BhartiNath2/status/1983932284656087282,"Here is an imaginary tongue in cheek #Opinion piece on “AI sycophant"" scenario - what an unyielding, flattering artificial adviser might whisper into each major political party's ear ahead of the 2025 Bihar Legislative Assembly election. @ndtv",BhartiNath2,0,False,0,0,0,0,0,,en,False,,Bihar election 2025
1983929780866105772,https://x.com/PTI_News/status/1983929780866105772,"A press release by Election Commission reads, ""ECI reviews Inter-State border preparedness; Directs strict vigil to ensure peaceful, inducement-free Bihar Assembly Elections 2025."" https://t.co/AraH1YCY4b",PTI_News,0,False,0,0,0,0,0,,en,False,,Bihar election 2025
1983927570531037688,https://x.com/ceopuducherry/status/1983927570531037688,"Bihar Assembly Elections 2025

The Election Commission of India (ECI) has undertaken a comprehensive review of the preparedness along the inter-state borders in view of the forthcoming Bihar Assembly Elections 2025.

During the review, the Commission emphasized the importance of maintaining strict vigilance at all inter-state check-posts, transit routes, and vulnerable border locations to prevent the movement of illegal cash, liquor, drugs, or any other inducements that could influence the integrity of the electoral process.

The Commission has directed all concerned authorities to work in close coordination with state police, central armed forces, and enforcement agencies to ensure robust security arrangements. Special instructions have been issued to intensify surveillance, strengthen intelligence-sharing mechanisms, and deploy adequate personnel along sensitive border areas.

The ECI reiterated its commitment to conduct peaceful, fair, and inducement-free elections in Bihar. It assured the public that every possible measure will be taken to guarantee a secure environment for voters to exercise their democratic right without fear, influence, or unlawful interference.",ceopuducherry,0,False,0,0,0,0,0,,en,False,,Bihar election 2025
1983918555771896168,https://x.com/punjabkesari/status/1983918555771896168,"Bihar Election 2025: वोट मांगने पहुंचे नेता से जनता ने पूछा काम का हिसाब, गुस्से में लौटे नेता!| ECI
#Biharelection #eci #latestnews https://t.co/PjhYu3ud8T",punjabkesari,0,False,0,0,0,0,0,,hi,False,,Bihar election 2025
